datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
1992-06-19T22:22:17.000000+00:00,Creation Time,PE,PE/COFF file,PE Type: Executable (EXE) Import hash: 0c97c38021e73ae3921565566bcfaa66,pe,TSK:/invsecr2.exe,-
2009-11-09T04:44:01.886934+00:00,Creation Time,LOG,System,808d9459-ccea-11de-a665-0015affd66a8 MAC address: 00:15:af:fd:66:a8 Origin: $MFT: 39-1,mft,TSK:/$MFT,-
2009-11-19T18:42:25.000000+00:00,Content Modification Time,FILE,File stat,TSK:/invsecr2.exe Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o777 Number of links: 1,filestat,TSK:/invsecr2.exe,-
2009-11-19T18:42:25.171875+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 35-2 Attribute name: $STANDARD_INFORMATION Path hints: \invsecr2.exe;\invsecr2.exe:Zone.Identifier,mft,TSK:/$MFT,-
2009-11-19T21:26:42.000000+00:00,Content Modification Time,FILE,File stat,TSK:/Nitroba work.odt Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o777 Number of links: 2,filestat,TSK:/Nitroba work.odt,-
2009-11-19T21:26:42.312500+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 41-1 Attribute name: $STANDARD_INFORMATION Path hints: \Nitroba work.odt,mft,TSK:/$MFT,-
2009-11-19T21:27:44.000000+00:00,Metadata Modification Time,FILE,File stat,TSK:/Nitroba work.odt Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o777 Number of links: 2,filestat,TSK:/Nitroba work.odt,-
2009-11-19T21:27:44.546875+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 41-1 Attribute name: $STANDARD_INFORMATION Path hints: \Nitroba work.odt,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 12-12 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 12-12 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 12-12 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 12-12 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 6-6 Attribute name: $FILE_NAME Name: $Bitmap Parent file reference: 5-5 Path hints: \$Bitmap,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 6-6 Attribute name: $FILE_NAME Name: $Bitmap Parent file reference: 5-5 Path hints: \$Bitmap,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 6-6 Attribute name: $FILE_NAME Name: $Bitmap Parent file reference: 5-5 Path hints: \$Bitmap,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 6-6 Attribute name: $FILE_NAME Name: $Bitmap Parent file reference: 5-5 Path hints: \$Bitmap,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 6-6 Attribute name: $STANDARD_INFORMATION Path hints: \$Bitmap,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 6-6 Attribute name: $STANDARD_INFORMATION Path hints: \$Bitmap,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 6-6 Attribute name: $STANDARD_INFORMATION Path hints: \$Bitmap,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 6-6 Attribute name: $STANDARD_INFORMATION Path hints: \$Bitmap,mft,TSK:/$MFT,-
